titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
The Lake House  ,  2006  ,  Drama; Fantasy; Romance  ,  PG  ,  142204  ,  /title/tt0410297/ ,  6.8  ,  52  ,  6.8  ,  6.9  ,  6.7  ,  6.7  ,  6.7  ,  6.2  ,  6.8  ,  6.7  ,  6.6  ,  7.0  ,  7.7  ,  7.1  ,  6.9  ,  7.2  , 13616196  ,  40000000  ,  52330111  ,  62500000  ,  114830111
Constantine  ,  2005  ,  Action; Fantasy; Horror  ,  R  ,  313130  ,  /title/tt0360486/ ,  7.0  ,  50  ,  7.0  ,  7.1  ,  7.0  ,  6.8  ,  6.9  ,  6.8  ,  7.1  ,  6.9  ,  6.8  ,  7.2  ,  7.0  ,  7.3  ,  7.1  ,  7.2  , 29769098  ,  100000000  ,  75976178  ,  154908550  ,  230884728
Thumbsucker  ,  2005  ,  Comedy; Drama  ,  R  ,  20674  ,  /title/tt0318761/ ,  6.6  ,  69  ,  -  ,  6.6  ,  6.6  ,  6.5  ,  6.5  ,  -  ,  6.6  ,  6.6  ,  6.4  ,  6.6  ,  -  ,  6.7  ,  6.6  ,  6.7  , 85327  ,  None  ,  1328679  ,  810063  ,  2138742
The Matrix Reloaded  ,  2003  ,  Action; Sci-Fi  ,  R  ,  523452  ,  /title/tt0234215/ ,  7.2  ,  62  ,  7.1  ,  7.3  ,  7.2  ,  7.0  ,  7.2  ,  7.1  ,  7.3  ,  7.2  ,  7.0  ,  7.1  ,  6.5  ,  7.2  ,  7.0  ,  7.1  , 91774413  ,  150000000  ,  281576461  ,  460271476  ,  741847937
The Matrix Revolutions  ,  2003  ,  Action; Sci-Fi  ,  R  ,  454426  ,  /title/tt0242653/ ,  6.8  ,  47  ,  6.5  ,  6.9  ,  6.7  ,  6.6  ,  6.8  ,  6.5  ,  6.9  ,  6.8  ,  6.6  ,  6.8  ,  5.8  ,  7.0  ,  6.7  ,  6.8  , 48475154  ,  150000000  ,  139313948  ,  288030377  ,  427344325
Something's Gotta Give  ,  2003  ,  Comedy; Drama; Romance  ,  PG-13  ,  113693  ,  /title/tt0337741/ ,  6.7  ,  66  ,  7.0  ,  6.7  ,  6.7  ,  6.9  ,  6.7  ,  7.0  ,  6.6  ,  6.6  ,  6.8  ,  6.9  ,  6.7  ,  6.7  ,  6.8  ,  7.3  , 16064723  ,  80000000  ,  124728738  ,  140600000  ,  265328738
Hardball  ,  2001  ,  Drama; Sport  ,  PG-13  ,  28753  ,  /title/tt0180734/ ,  6.4  ,  48  ,  5.1  ,  6.9  ,  6.4  ,  6.1  ,  6.4  ,  5.2  ,  6.8  ,  6.3  ,  6.1  ,  6.7  ,  1.0  ,  7.1  ,  6.7  ,  6.5  , 9386342  ,  32000000  ,  40222729  ,  3879660  ,  44102389
Sweet November  ,  2001  ,  Drama; Romance  ,  PG-13  ,  86689  ,  /title/tt0230838/ ,  6.7  ,  27  ,  6.0  ,  7.0  ,  6.8  ,  6.3  ,  6.7  ,  6.1  ,  6.9  ,  6.7  ,  6.2  ,  6.8  ,  5.6  ,  7.0  ,  6.8  ,  6.4  , 9733954  ,  None  ,  25288103  ,  40466125  ,  65754228
The Replacements  ,  2000  ,  Comedy; Sport  ,  PG-13  ,  59164  ,  /title/tt0191397/ ,  6.6  ,  30  ,  5.0  ,  6.8  ,  6.5  ,  6.6  ,  6.6  ,  5.0  ,  6.8  ,  6.5  ,  6.5  ,  6.8  ,  -  ,  6.9  ,  6.6  ,  7.1  , 11039214  ,  50000000  ,  44737059  ,  5317452  ,  50054511
The Gift  ,  2000  ,  Drama; Fantasy; Horror  ,  R  ,  64561  ,  /title/tt0219699/ ,  6.6  ,  62  ,  5.2  ,  6.6  ,  6.6  ,  6.8  ,  6.6  ,  7.0  ,  6.5  ,  6.5  ,  6.8  ,  6.8  ,  5.0  ,  6.7  ,  6.7  ,  7.1  , 11827  ,  None  ,  12008642  ,  32558964  ,  44567606
